100
Taste 1 , Taste 0
1.33 , 0.07
1.45 , 0.11
1.925 , 0.175
2.31 , 0.305
2.68 , 0.505
3.46 , 0.655
4.54 , 0.805
5.425 , 0.895
6.235 , 1
7.165 , 1.135
8.02 , 1.22
8.61 , 1.41
8.915 , 1.555
9.275 , 1.665
9.615 , 1.84
10.18 , 1.92
10.865 , 2.05
11.235 , 2.14
11.465 , 2.185
11.61 , 2.325
11.74 , 2.485
12.575 , 2.63
13.37 , 2.85
14.01 , 2.98
14.645 , 3.01
15.44 , 3.08
16.28 , 3.16
17.06 , 3.29
18.01 , 3.375
18.535 , 3.54
19.335 , 3.54
20.275 , 3.63
20.995 , 3.815
21.52 , 3.99
21.775 , 4.045
22.12 , 4.12
22.99 , 4.19
24.045 , 4.215
24.75 , 4.375
25.48 , 4.44
26.235 , 4.525
26.975 , 4.525
27.56 , 4.665
28.405 , 4.69
28.88 , 4.835
29.535 , 4.885
30.38 , 4.975
31.43 , 5.05
32.4 , 5.14
33.055 , 5.29
33.56 , 5.35
34.32 , 5.42
34.965 , 5.615
35.96 , 5.645
37.035 , 5.685
38.055 , 5.73
38.825 , 5.83
39.785 , 5.86
40.835 , 5.875
41.94 , 5.915
43.035 , 5.935
44.155 , 5.94
45.39 , 5.95
46.495 , 5.98
47.56 , 6
48.7 , 6
49.855 , 6
50.865 , 6
51.875 , 6
52.805 , 6
53.29 , 6
53.665 , 6
53.805 , 6
53.905 , 6
53.98 , 6
54 , 6
54 , 6
54 , 6
54 , 6
54 , 6
