300
Taste 1 , Taste 0
3.0238095238095237 , 2.2777777777777777
9.904761904761905 , 6
17.404761904761905 , 11.944444444444445
24.083333333333332 , 20.583333333333332
29.607142857142858 , 30.583333333333332
33.70238095238095 , 37.25
35.476190476190474 , 44.333333333333336
38.04761904761905 , 50.55555555555556
39 , 58.333333333333336
39.86904761904762 , 65.41666666666667
38.726190476190474 , 72.08333333333333
36.75 , 77.69444444444444
34.36904761904762 , 83.69444444444444
32.32142857142857 , 92.02777777777777
30.238095238095237 , 100.22222222222223
28.047619047619047 , 107.88888888888889
31.107142857142858 , 114.08333333333333
32.333333333333336 , 119.66666666666667
36.25 , 126.41666666666667
37.57142857142857 , 132.44444444444446
39.98809523809524 , 140.91666666666666
40.25 , 149.41666666666666
40.285714285714285 , 156.77777777777777
41.964285714285715 , 162.41666666666666
40.57142857142857 , 170.55555555555554
41.57142857142857 , 176.55555555555554
45.73809523809524 , 183.5
47.51190476190476 , 187.36111111111111
48.30952380952381 , 191.94444444444446
49.38095238095238 , 193.88888888888889
51.404761904761905 , 198.94444444444446
50.95238095238095 , 207.11111111111111
53.36904761904762 , 213.36111111111111
59.095238095238095 , 220.22222222222223
64.77380952380952 , 225.52777777777777
67.3452380952381 , 231.41666666666666
68.77380952380952 , 236.86111111111111
68.85714285714286 , 240
73.23809523809524 , 243.66666666666666
75.23809523809524 , 247.77777777777777
79.67857142857143 , 251.19444444444446
87.9047619047619 , 254.33333333333334
93.88095238095238 , 256.72222222222223
98.4047619047619 , 259.3888888888889
101.26190476190476 , 261.5
105.97619047619048 , 263.1666666666667
110.39285714285714 , 265.52777777777777
117.30952380952381 , 264.94444444444446
124.1547619047619 , 264.97222222222223
130.11904761904762 , 266.94444444444446
135.85714285714286 , 267.22222222222223
142.5 , 266.94444444444446
148.86904761904762 , 265.0833333333333
154.89285714285714 , 263.25
163.04761904761904 , 262
170.07142857142858 , 260.6111111111111
177.39285714285714 , 259.6388888888889
185.07142857142858 , 258.05555555555554
192.03571428571428 , 255.13888888888889
198.64285714285714 , 251.94444444444446
206.4404761904762 , 249.86111111111111
212.0952380952381 , 246.11111111111111
217.71428571428572 , 243.88888888888889
222.07142857142858 , 240.83333333333334
224.07142857142858 , 238.61111111111111
225.25 , 235.97222222222223
226 , 233.88888888888889
225.9404761904762 , 231.80555555555554
225.27380952380952 , 228.47222222222223
224.17857142857142 , 225.13888888888889
222.4047619047619 , 222.5
220.23809523809524 , 219.44444444444446
217.73809523809524 , 216.94444444444446
215.47619047619048 , 213.88888888888889
213.1547619047619 , 210.97222222222223
210.29761904761904 , 209.30555555555554
207.79761904761904 , 206.80555555555554
205.41666666666666 , 204.02777777777777
202.4404761904762 , 202.63888888888889
200 , 200
