7.333333333333333 , 2
 5 , 4.333333333333333
 2.5 , 9
 0 , 15.666666666666666
 -2.5 , 23.166666666666668
 -5 , 29.833333333333332
 -7.5 , 36.166666666666664
 -10 , 43.333333333333336
 -12.5 , 50.833333333333336
 -15 , 58.333333333333336
 -17.5 , 65.83333333333333
 -20 , 73.33333333333333
 -22.5 , 80.83333333333333
 -25 , 88.16666666666667
 -23.583333333333332 , 94
 -18.041666666666668 , 100.16666666666667
 -20.5 , 107
 -23 , 113.66666666666667
 -25.5 , 120.66666666666667
 -24.083333333333332 , 127.5
 -24.666666666666668 , 134.16666666666666
 -27 , 139.66666666666666
 -27.5 , 145.66666666666666
 -28 , 152.16666666666666
 -28.625 , 159.66666666666666
 -31 , 164.83333333333334
 -29.625 , 170
 -32 , 176.5
 -32.583333333333336 , 181
 -33 , 187
 -35.5 , 193.66666666666666
 -32.208333333333336 , 197
 -32.541666666666664 , 203
 -33.166666666666664 , 207.5
 -35.5 , 213.83333333333334
 -34 , 220.66666666666666
 -36.5 , 224.83333333333334
 -37 , 231.16666666666666
 -35.541666666666664 , 237.16666666666666
 -38 , 240.16666666666666
 -34.583333333333336 , 243.66666666666666
 -33.083333333333336 , 249.83333333333334
 -33.5 , 254.5
 -36 , 259.6666666666667
 -36.5 , 263.5
 -33 , 266
 -29.5 , 267
 -26 , 269.1666666666667
 -22.5 , 267.5
 -15 , 265.6666666666667
 -9.5 , 264.5
 -2 , 264
 3.5 , 263.5
 7 , 263
 14.5 , 260.5
 22 , 259.1666666666667
 27.5 , 257.5
 35 , 255
 42.5 , 252.5
 50 , 250
 57.5 , 247.5
 65 , 245
 72.5 , 242.5
 80 , 240
 87.5 , 237.5
 95 , 235
 102.5 , 232.5
 110 , 230
 117.5 , 227.5
 125 , 225
 132.5 , 222.5
 140 , 220
 147.5 , 217.5
 155 , 215
 162.5 , 212.5
 170 , 210
 177.5 , 207.5
 185 , 205
 192.5 , 202.5
 200 , 200
 
