800
Taste 1 , Taste 0
3.033333333333333 , 2.8333333333333335
5.333333333333333 , 4.8
7.6 , 7.2
10.25 , 9.616666666666667
11.95 , 12.183333333333334
14.35 , 14.716666666666667
17.033333333333335 , 18.1
20.333333333333332 , 20.866666666666667
23.316666666666666 , 22.483333333333334
25.7 , 25.833333333333332
28.183333333333334 , 28.95
30.966666666666665 , 31.3
33.983333333333334 , 32.75
36.43333333333333 , 34.56666666666667
38.666666666666664 , 36.86666666666667
40.766666666666666 , 39.43333333333333
43.2 , 41.333333333333336
45.43333333333333 , 44.7
48.36666666666667 , 46.833333333333336
50.25 , 50.416666666666664
53.06666666666667 , 53.06666666666667
55.31666666666667 , 55.75
57.916666666666664 , 59.21666666666667
61.233333333333334 , 61.56666666666667
63.95 , 63.65
66.4 , 66.06666666666666
67.96666666666667 , 68.96666666666667
69.11666666666666 , 71.28333333333333
72.2 , 73.06666666666666
74.7 , 76.16666666666667
77.46666666666667 , 77.6
80.78333333333333 , 80.08333333333333
82.73333333333333 , 82
85.36666666666666 , 84.56666666666666
88.08333333333333 , 86.85
90.75 , 89.58333333333333
94.75 , 92.65
97.56666666666666 , 94.9
100.23333333333333 , 97.3
102.56666666666666 , 100.1
104.8 , 103
106.71666666666667 , 105.48333333333333
109.1 , 106.83333333333333
112.26666666666667 , 108.6
114.61666666666666 , 110.78333333333333
116.51666666666667 , 114.01666666666667
119.71666666666667 , 115.95
123.16666666666667 , 118.63333333333334
126.11666666666666 , 121.15
128.43333333333334 , 123.23333333333333
130.38333333333333 , 125.35
132.88333333333333 , 127.98333333333333
135.68333333333334 , 130.91666666666666
137.88333333333333 , 133.91666666666666
139.88333333333333 , 136.98333333333332
142.75 , 139.25
146.13333333333333 , 141.93333333333334
148.98333333333332 , 143.48333333333332
151.86666666666667 , 145
153.83333333333334 , 147.56666666666666
156.78333333333333 , 150.01666666666668
158.73333333333332 , 153.13333333333333
160.96666666666667 , 155.23333333333332
162.7 , 157.7
164.86666666666667 , 159.93333333333334
168.46666666666667 , 161.73333333333332
170.46666666666667 , 164.13333333333333
172.25 , 167.81666666666666
174.15 , 171.25
176.43333333333334 , 173.63333333333333
179.35 , 175.31666666666666
182.78333333333333 , 177.68333333333334
185.41666666666666 , 180.18333333333334
187.71666666666667 , 182.55
189.66666666666666 , 186
191.85 , 188.41666666666666
193.83333333333334 , 190.76666666666668
196.65 , 193.68333333333334
198.3 , 196.76666666666668
200 , 200
