100
Taste 1 , Taste 0
0.54 , 0
1.385 , 0
2.345 , 0
3.365 , 0
4.64 , 0
5.765 , 0
6.74 , 0
7.74 , 0
8.79 , 0
10.09 , 0
11.115 , 0
12.19 , 0
13.24 , 0
14.225 , 0
15.275 , 0
16.285 , 0.01
17.21 , 0.01
18.295 , 0.01
19.32 , 0.02
20.325 , 0.055
21.375 , 0.075
22.4 , 0.085
23.425 , 0.085
24.36 , 0.085
25.295 , 0.085
26.28 , 0.085
27.325 , 0.1
28.41 , 0.105
29.435 , 0.135
30.325 , 0.185
31.455 , 0.205
32.385 , 0.21
33.195 , 0.315
34.1 , 0.34
35.02 , 0.385
35.795 , 0.535
36.865 , 0.62
37.715 , 0.66
38.535 , 0.85
39.39 , 0.905
39.985 , 1.055
40.595 , 1.09
40.995 , 1.36
41.315 , 1.585
41.435 , 1.81
41.535 , 2.05
41.72 , 2.425
41.77 , 2.825
41.85 , 3.225
41.88 , 3.575
41.955 , 3.925
42 , 4.35
42 , 4.725
42 , 5.1
42 , 5.7
42 , 6.2
42 , 6.625
42 , 6.95
42 , 7.275
42 , 7.7
42 , 8.125
42 , 8.625
42 , 8.975
42 , 9.5
42 , 9.975
42 , 10.35
42 , 10.85
42 , 11.3
42 , 11.65
42 , 12.25
42 , 12.875
42 , 13.525
42 , 14.075
42 , 14.55
42 , 15.1
42 , 15.475
42 , 15.9
42 , 16.425
42 , 17.25
42 , 18
