100
Taste 1 , Taste 0
55.625 , 3.5
257.8125 , 2.3333333333333335
511.1458333333333 , -0.16666666666666666
691.625 , 5.166666666666667
867.2291666666666 , 2.8333333333333335
1053.1875 , 7.666666666666667
1234.7916666666667 , 5.333333333333333
1523.1666666666667 , 2.8333333333333335
1789.0625 , 2
1959.25 , 6.833333333333333
2057.125 , 9.833333333333334
2245.9166666666665 , 7.5
2523.75 , 7
2737.5625 , 8.5
2961.8333333333335 , 6.166666666666667
3193.7291666666665 , 7.666666666666667
3430.2708333333335 , 5.666666666666667
3672.1666666666665 , 6.833333333333333
3901.8125 , 5
4176.458333333333 , 2.6666666666666665
4400.979166666667 , 5.5
4605.333333333333 , 4
4806.020833333333 , 7.166666666666667
4986.645833333333 , 6.166666666666667
5143.0625 , 11.166666666666666
5303.145833333333 , 11
5519.708333333333 , 11.666666666666666
5760.354166666667 , 9.666666666666666
5957.645833333333 , 13
6136.083333333333 , 12.166666666666666
6397.5 , 10
6675 , 8
6920.5 , 9.666666666666666
7142.4375 , 9
7354.604166666667 , 10.833333333333334
7559 , 10.166666666666666
7753.4375 , 13.5
7908.6875 , 14.833333333333334
8066.145833333333 , 17.833333333333332
8159.041666666667 , 23.5
8216.916666666666 , 28.666666666666668
8349.395833333334 , 27.5
8538.604166666666 , 31.666666666666668
8688.791666666666 , 31.333333333333332
8898.9375 , 32.5
9093.291666666666 , 34.5
9229.625 , 39.666666666666664
9269.583333333334 , 46.666666666666664
9272.958333333334 , 54
9311.0625 , 58.333333333333336
9403.208333333334 , 63.166666666666664
9453.8125 , 70.33333333333333
9552.604166666666 , 71
9665.1875 , 77.33333333333333
9751.1875 , 81.33333333333333
9912.229166666666 , 80
10151.604166666666 , 81.5
10283.041666666666 , 88.33333333333333
10343.395833333334 , 92.66666666666667
10403.083333333334 , 99.83333333333333
10500.729166666666 , 99.33333333333333
10736.458333333334 , 100.33333333333333
10866.291666666666 , 107.66666666666667
10908.125 , 113.16666666666667
11010.6875 , 114.83333333333333
11108.041666666666 , 122.16666666666667
11119.958333333334 , 129.16666666666666
11178.041666666666 , 133
11293.791666666666 , 136.66666666666666
11428.166666666666 , 138.66666666666666
11556.583333333334 , 144.16666666666666
11624.020833333334 , 149.83333333333334
11653.5 , 157.16666666666666
11733.229166666666 , 159
11875.583333333334 , 163.5
11941.583333333334 , 171
11972.875 , 177.5
12000 , 185
12000 , 192.5
12000 , 200
