800
Taste 1 , Taste 0
0 , -2.5
0 , -3.25
0.8333333333333334 , -5.666666666666667
3.2916666666666665 , -8.75
5.625 , -8.541666666666666
9.625 , -7.458333333333333
14.291666666666666 , -8.333333333333334
21.708333333333332 , -6.25
25.791666666666668 , -5.5
33.333333333333336 , -6.875
39.041666666666664 , -8
47.458333333333336 , -8.75
53.958333333333336 , -12.166666666666666
60.458333333333336 , -13.5
66.58333333333333 , -14.291666666666666
70.875 , -15.958333333333334
76.58333333333333 , -16.666666666666668
81.29166666666667 , -17.541666666666668
90.29166666666667 , -18.333333333333332
96.125 , -19.708333333333332
102.91666666666667 , -21.833333333333332
105.54166666666667 , -23.208333333333332
114.16666666666667 , -24.125
119.625 , -26.5
123.58333333333333 , -28.208333333333332
132.66666666666666 , -30
137.54166666666666 , -32.791666666666664
146.41666666666666 , -33.666666666666664
151.70833333333334 , -34.958333333333336
159.83333333333334 , -36.916666666666664
165.45833333333334 , -39.625
173.875 , -41.125
177.58333333333334 , -44.666666666666664
184.95833333333334 , -45.166666666666664
192.70833333333334 , -46.541666666666664
199.5 , -48.875
205.58333333333334 , -52.041666666666664
214.20833333333334 , -53
222.83333333333334 , -54.458333333333336
229.45833333333334 , -56.208333333333336
236.625 , -58.041666666666664
246.20833333333334 , -59.916666666666664
253.875 , -61.375
259.5 , -62.041666666666664
269.125 , -64.04166666666667
276.4166666666667 , -66.20833333333333
285.3333333333333 , -67.5
293.3333333333333 , -69.5
299.3333333333333 , -69.5
308.4583333333333 , -70
315.0416666666667 , -71.875
321.25 , -71.125
329.4583333333333 , -72.16666666666667
336.2916666666667 , -72.58333333333333
341.875 , -74.58333333333333
348.9583333333333 , -74.5
354.375 , -74.16666666666667
364.25 , -74.45833333333333
368.9166666666667 , -75.58333333333333
374.5833333333333 , -75.625
381.125 , -76.33333333333333
385.125 , -76.5
394.2083333333333 , -77.70833333333333
400.5416666666667 , -78.79166666666667
409.8333333333333 , -77.25
417.5416666666667 , -77.45833333333333
422.25 , -78.83333333333333
429.75 , -81.20833333333333
434.25 , -82.75
438.0833333333333 , -85.45833333333333
445.5416666666667 , -87.54166666666667
449.25 , -88.54166666666667
452.7083333333333 , -88.04166666666667
458.375 , -87.25
461.7083333333333 , -85.25
464.5 , -82.75
465.2083333333333 , -76.08333333333333
465.5833333333333 , -65.375
465.7916666666667 , -55.375
465.7916666666667 , -46
