-1.7380952380952381 , 6.055555555555555
 -4.095238095238095 , 13.11111111111111
 -6.357142857142857 , 20.27777777777778
 -8.476190476190476 , 26.77777777777778
 -10.404761904761905 , 33.833333333333336
 -12.619047619047619 , 40.666666666666664
 -14.928571428571429 , 47.5
 -17.238095238095237 , 54.111111111111114
 -19.261904761904763 , 61.27777777777778
 -21.047619047619047 , 68.33333333333333
 -22.785714285714285 , 75.27777777777777
 -25.095238095238095 , 82.44444444444444
 -26.738095238095237 , 88.61111111111111
 -28.761904761904763 , 94.66666666666667
 -30.88095238095238 , 101.27777777777777
 -33 , 108
 -34.45238095238095 , 114.5
 -36.333333333333336 , 121.22222222222223
 -37.5 , 127.61111111111111
 -39.333333333333336 , 134.66666666666666
 -41.595238095238095 , 141.72222222222223
 -43.476190476190474 , 148.33333333333334
 -45.595238095238095 , 155.16666666666666
 -46.523809523809526 , 160.55555555555554
 -47.26190476190476 , 166.38888888888889
 -49.42857142857143 , 173.33333333333334
 -50.976190476190474 , 179.27777777777777
 -51.857142857142854 , 185.77777777777777
 -52.45238095238095 , 191.27777777777777
 -53.38095238095238 , 197
 -54.45238095238095 , 202.83333333333334
 -55.61904761904762 , 208.77777777777777
 -57.5 , 215.83333333333334
 -57 , 221.77777777777777
 -57.785714285714285 , 226.83333333333334
 -58.95238095238095 , 233.11111111111111
 -59.26190476190476 , 239.16666666666666
 -59.095238095238095 , 244.44444444444446
 -58.92857142857143 , 248.16666666666666
 -57.61904761904762 , 252
 -56.5 , 257.05555555555554
 -53.38095238095238 , 257.77777777777777
 -51.73809523809524 , 261.1666666666667
 -50.80952380952381 , 266.55555555555554
 -48.166666666666664 , 269.05555555555554
 -43.666666666666664 , 271
 -37.976190476190474 , 270.5
 -30.666666666666668 , 268
 -26.357142857142858 , 269.5
 -20.666666666666668 , 269
 -15.30952380952381 , 268.1666666666667
 -8.952380952380953 , 268
 -1.6904761904761905 , 265.94444444444446
 5 , 265
 12.5 , 262.5
 20 , 260
 27.5 , 257.5
 35 , 255
 42.5 , 252.5
 50 , 250
 57.5 , 247.5
 65 , 245
 72.5 , 242.5
 80 , 240
 87.5 , 237.5
 95 , 235
 102.5 , 232.5
 110 , 230
 117.5 , 227.5
 125 , 225
 132.5 , 222.5
 140 , 220
 147.5 , 217.5
 155 , 215
 162.5 , 212.5
 170 , 210
 177.5 , 207.5
 185 , 205
 192.5 , 202.5
 200 , 200
 
