300
Taste 1 , Taste 0
3.433333333333333 , 1.5
7.983333333333333 , 2.283333333333333
12.983333333333333 , 1.2833333333333334
17 , 1.5333333333333334
20.066666666666666 , 3.6666666666666665
22.133333333333333 , 8.6
21.65 , 12.416666666666666
23.733333333333334 , 14.8
25.55 , 16.116666666666667
28.533333333333335 , 18.4
29.7 , 22.366666666666667
32.016666666666666 , 26.783333333333335
34.53333333333333 , 29.266666666666666
37.083333333333336 , 30.85
40 , 32.53333333333333
41.71666666666667 , 34.21666666666667
43.85 , 37.28333333333333
44.733333333333334 , 41.266666666666666
45.63333333333333 , 45.7
48.25 , 48.483333333333334
49.61666666666667 , 51.516666666666666
52.083333333333336 , 52.983333333333334
55.416666666666664 , 54.516666666666666
59.13333333333333 , 55.53333333333333
63.35 , 55.31666666666667
67.33333333333333 , 56.13333333333333
72.56666666666666 , 56.9
78.33333333333333 , 56.53333333333333
82.43333333333334 , 56.7
86.93333333333334 , 57.8
91.45 , 57.483333333333334
98.78333333333333 , 56.416666666666664
104.7 , 55.56666666666667
111.61666666666666 , 55.71666666666667
115.63333333333334 , 55.1
120.93333333333334 , 54.86666666666667
125.61666666666666 , 55.71666666666667
127.55 , 57.583333333333336
130.08333333333334 , 59.31666666666667
133.81666666666666 , 61.25
134.23333333333332 , 64.83333333333333
136.1 , 68.16666666666667
137.35 , 68.71666666666667
139.65 , 69.21666666666667
141.11666666666667 , 72.48333333333333
142.08333333333334 , 76.71666666666667
143.5 , 81.56666666666666
144.63333333333333 , 84.56666666666666
144.46666666666667 , 90.13333333333334
145.23333333333332 , 93.03333333333333
147.46666666666667 , 96.8
149.66666666666666 , 100.13333333333334
150.85 , 102.35
152.1 , 107.1
152.25 , 111.81666666666666
153.11666666666667 , 116.15
153.25 , 121.68333333333334
153.63333333333333 , 125.43333333333334
154.23333333333332 , 128.63333333333333
155.43333333333334 , 133.83333333333334
156.03333333333333 , 138.1
156.06666666666666 , 143.06666666666666
155.51666666666668 , 146.41666666666666
155.95 , 152.18333333333334
156.81666666666666 , 157.51666666666668
158.76666666666668 , 161.9
159.26666666666668 , 166.66666666666666
161.05 , 171.28333333333333
165.78333333333333 , 173.81666666666666
168.08333333333334 , 176.58333333333334
170.35 , 179.85
173.05 , 181.75
176.25 , 182.75
178.65 , 186.35
181.71666666666667 , 190.35
186.3 , 191.9
190.21666666666667 , 193.91666666666666
193.33333333333334 , 195.8
195.86666666666667 , 197.53333333333333
200 , 200
