7.404761904761905 , -2.5, 0
 14.761904761904763 , -5, 0
 18.5 , -3.5, 28
 25.19047619047619 , -6, 36
 25.5 , -0.7222222222222222, 46
 32.19047619047619 , -3.2222222222222223, 106
 34.45238095238095 , -0.16666666666666666, 120
 41.38095238095238 , -2.111111111111111, 156
 43.404761904761905 , 0.5, 173
 50.142857142857146 , -1.4444444444444444, 210
 52.404761904761905 , 1.2777777777777777, 212
 57.476190476190474 , 0.8888888888888888, 271
 55.5 , 8.055555555555555, 287
 62.333333333333336 , 5.888888888888889, 367
 67.35714285714286 , 5.722222222222222, 388
 72.71428571428571 , 5, 404
 76.64285714285714 , 6.055555555555555, 405
 82.57142857142857 , 4.666666666666667, 437
 87.78571428571429 , 4.944444444444445, 449
 88.42857142857143 , 9.222222222222221, 533
 89.02380952380952 , 13.277777777777779, 565
 92.28571428571429 , 14.777777777777779, 599
 97.30952380952381 , 14.5, 646
 100.95238095238095 , 16.11111111111111, 671
 104.69047619047619 , 17.27777777777778, 693
 106.76190476190476 , 20.555555555555557, 770
 105.97619047619048 , 26.27777777777778, 829
 108.71428571428571 , 27.77777777777778, 844
 111.73809523809524 , 29.944444444444443, 913
 116.28571428571429 , 30.444444444444443, 940
 119.35714285714286 , 31.61111111111111, 966
 119.9047619047619 , 36.55555555555556, 1045
 121.35714285714286 , 38.94444444444444, 1055
 123.04761904761905 , 42.44444444444444, 1113
 126.16666666666667 , 44.5, 1147
 128.85714285714286 , 46, 1220
 133.5 , 47.05555555555556, 1230
 136.8095238095238 , 49.44444444444444, 1291
 139.45238095238096 , 51.05555555555556, 1312
 142.66666666666666 , 52, 1352
 145.45238095238096 , 55.611111111111114, 1411
 147.38095238095238 , 57.111111111111114, 1456
 152.73809523809524 , 56.388888888888886, 1468
 158.71428571428572 , 56.22222222222222, 1492
 162.45238095238096 , 58.05555555555556, 1533
 162.95238095238096 , 62.55555555555556, 1570
 164.5 , 65.27777777777777, 1632
 164 , 71.44444444444444, 1678
 161.5 , 78.72222222222223, 1786
 159 , 86.22222222222223, 1851
 163.64285714285714 , 85.94444444444444, 1912
 167.8095238095238 , 88.44444444444444, 1962
 166.92857142857142 , 93.61111111111111, 2013
 170.66666666666666 , 95, 2067
 168.5 , 101.94444444444444, 2115
 166.28571428571428 , 108.66666666666667, 2208
 169.64285714285714 , 110.38888888888889, 2251
 172.85714285714286 , 113.11111111111111, 2319
 174.07142857142858 , 116.27777777777777, 2326
 174.57142857142858 , 120.55555555555556, 2412
 175.54761904761904 , 124.72222222222223, 2442
 179.9047619047619 , 125.44444444444444, 2516
 182.92857142857142 , 127.83333333333333, 2531
 182 , 134, 2597
 185.73809523809524 , 134.61111111111111, 2670
 190.14285714285714 , 136, 2681
 189.07142857142858 , 141.94444444444446, 2776
 193.61904761904762 , 142.77777777777777, 2796
 191.83333333333334 , 149.16666666666666, 2871
 191 , 155.55555555555554, 2907
 194.73809523809524 , 156.61111111111111, 3000
 195.76190476190476 , 161.77777777777777, 3069
 197.5 , 165.38888888888889, 3085
 197 , 170.77777777777777, 3145
 196.35714285714286 , 176.27777777777777, 3242
 201.47619047619048 , 176.77777777777777, 3299
 199.5 , 183.83333333333334, 3342
 202.85714285714286 , 186.44444444444446, 3413
 
