100
Taste 1 , Taste 0
1.4583333333333333 , 84.41666666666667
7.375 , 268.4166666666667
1.6666666666666667 , 538.25
7.083333333333333 , 905.9166666666666
1.8333333333333333 , 1366.25
3.3333333333333335 , 1970.4166666666667
5.541666666666667 , 2654.9166666666665
1.6666666666666667 , 3461.0833333333335
7.375 , 4358.5
3.5 , 5315.5
1.5833333333333333 , 6398.25
5.041666666666667 , 7629.5
7.083333333333333 , 8903.416666666666
5.958333333333333 , 10198.666666666666
7.25 , 11527.5
5.708333333333333 , 12884.583333333334
-0.041666666666666664 , 14388.416666666666
3.4166666666666665 , 16060.083333333334
5.333333333333333 , 17822.916666666668
5.375 , 19657.833333333332
1.7083333333333333 , 21615.5
3.5833333333333335 , 23712.916666666668
6.583333333333333 , 25881.166666666668
5.583333333333333 , 28086.166666666668
5.708333333333333 , 30354.916666666668
5.875 , 32666.083333333332
7.041666666666667 , 35006.416666666664
6.958333333333333 , 37359.916666666664
5.833333333333333 , 39745.833333333336
0.5833333333333334 , 42268.25
6.166666666666667 , 44904.416666666664
5.541666666666667 , 47603.5
-1.2083333333333333 , 50411.333333333336
-0.5833333333333334 , 53522.083333333336
3.125 , 56806.5
4.708333333333333 , 60204.25
4.25 , 63681.666666666664
6.166666666666667 , 67234.33333333333
3.2083333333333335 , 70855.66666666667
3.2916666666666665 , 74620.41666666667
1.7916666666666667 , 78515.58333333333
2.8333333333333335 , 82591
0.25 , 86843.16666666667
-0.5 , 91314.75
-0.5416666666666666 , 96016.58333333333
-0.5833333333333334 , 100973.91666666667
0.20833333333333334 , 106160.91666666667
2.75 , 111519.58333333333
1.625 , 117016.25
1.375 , 122692.16666666667
5.458333333333333 , 128513.08333333333
3.375 , 134432.33333333334
-2.2083333333333335 , 140548.58333333334
2.6666666666666665 , 146894.91666666666
3.5 , 153383.08333333334
0.3333333333333333 , 159995.75
4 , 166819.08333333334
2.8333333333333335 , 173750.5
2.4583333333333335 , 180827.08333333334
2.4583333333333335 , 188052.66666666666
1.0833333333333333 , 195476.66666666666
3.5416666666666665 , 203048.08333333334
-1.875 , 210807.91666666666
-0.8333333333333334 , 218839.33333333334
2.625 , 227091.08333333334
0.6666666666666666 , 235481.83333333334
-0.6666666666666666 , 244110.66666666666
-0.4583333333333333 , 252976.75
-0.375 , 262107.16666666666
-2.4583333333333335 , 271449.25
1.375 , 281064.8333333333
-0.375 , 290890.0833333333
1.25 , 300945
-0.25 , 311173.5
-0.625 , 321667.3333333333
-0.5 , 332415.25
-2.375 , 343451.1666666667
-0.5416666666666666 , 354746.8333333333
-2.4583333333333335 , 366331.5833333333
-2.5 , 378170.75
