800
Taste 1 , Taste 0
7.388888888888889 , 2.1666666666666665
5.2407407407407405 , 4.166666666666667
8.11111111111111 , 6.666666666666667
9.046296296296296 , 13.916666666666666
8.574074074074074 , 18.166666666666668
7.842592592592593 , 27.75
6.157407407407407 , 29.25
8.472222222222221 , 36.75
12.648148148148149 , 40.5
16 , 43
19.046296296296298 , 54.25
22.09259259259259 , 60.5
24.73148148148148 , 70.41666666666667
28.212962962962962 , 73.08333333333333
31.24074074074074 , 80.5
34.25 , 89.75
38.824074074074076 , 95.91666666666667
39.24074074074074 , 106.16666666666667
40.601851851851855 , 117.25
41.851851851851855 , 125.33333333333333
42.379629629629626 , 133.25
41.388888888888886 , 140.83333333333334
39.4537037037037 , 147.25
38.03703703703704 , 152
37.120370370370374 , 155.91666666666666
38.324074074074076 , 161.41666666666666
41.083333333333336 , 168.91666666666666
40.7962962962963 , 172.16666666666666
39.629629629629626 , 177.33333333333334
40.083333333333336 , 182.25
42.083333333333336 , 187.58333333333334
44.898148148148145 , 191.91666666666666
47.2037037037037 , 196.83333333333334
50.47222222222222 , 197.75
52.73148148148148 , 202.08333333333334
54.98148148148148 , 205.16666666666666
58.24074074074074 , 209.5
62.0462962962963 , 213.25
64.38888888888889 , 219.16666666666666
67.17592592592592 , 221.41666666666666
68.1574074074074 , 223.91666666666666
69.21296296296296 , 225.75
72.33333333333333 , 229.66666666666666
75.47222222222223 , 233.75
78.5925925925926 , 235.33333333333334
83.12962962962963 , 237.16666666666666
85.53703703703704 , 237.5
85.68518518518519 , 241.16666666666666
88.8425925925926 , 241.75
94.0925925925926 , 240.5
99.11111111111111 , 243
104.75925925925925 , 242.5
108.75925925925925 , 242.83333333333334
113.06481481481481 , 239.08333333333334
118.8425925925926 , 239.75
124.30555555555556 , 241.58333333333334
129.61111111111111 , 238.83333333333334
136.25925925925927 , 237.33333333333334
140.2962962962963 , 236.33333333333334
144.75925925925927 , 233.83333333333334
151.14814814814815 , 233.33333333333334
157.4814814814815 , 230
163.52777777777777 , 227.91666666666666
169.9351851851852 , 226.25
177.08333333333334 , 222.91666666666666
183.15740740740742 , 219.58333333333334
190.32407407407408 , 217.08333333333334
196.41666666666666 , 214.58333333333334
203.5462962962963 , 212.08333333333334
208.11111111111111 , 210
211.0462962962963 , 206.25
212.94444444444446 , 205.83333333333334
214.0462962962963 , 204.58333333333334
214.14814814814815 , 203.33333333333334
212.96296296296296 , 201.66666666666666
210.97222222222223 , 201.25
208.24074074074073 , 200.83333333333334
205.50925925925927 , 200.41666666666666
202.77777777777777 , 200
200 , 200
