100
Taste 1 , Taste 0
2.566666666666667 , 2.8333333333333335
7.3 , 6.633333333333334
13.1 , 13.033333333333333
20.816666666666666 , 19.583333333333332
28.55 , 26.45
34.483333333333334 , 35.45
40.733333333333334 , 44.2
47.483333333333334 , 52.45
54.983333333333334 , 59.95
62.483333333333334 , 67.45
69.73333333333333 , 75.2
77.48333333333333 , 82.45
84.23333333333333 , 90.7
89.98333333333333 , 99.95
96.23333333333333 , 108.7
103.48333333333333 , 116.45
109.73333333333333 , 125.2
115.98333333333333 , 133.88333333333333
123.98333333333333 , 140.68333333333334
132.6 , 146.13333333333333
139.08333333333334 , 153.78333333333333
144.9 , 161.16666666666666
152.9 , 166.23333333333332
158.55 , 173.25
166 , 179.73333333333332
172.03333333333333 , 185.63333333333333
176.9 , 192.83333333333334
184.26666666666668 , 198.73333333333332
190.9 , 206.03333333333333
197.46666666666667 , 212.46666666666667
204.26666666666668 , 218.53333333333333
209.01666666666668 , 225.51666666666668
213.96666666666667 , 232.23333333333332
218.96666666666667 , 239.7
224.05 , 245.75
230.11666666666667 , 250.61666666666667
235.55 , 256.25
241.88333333333333 , 258.5833333333333
248.71666666666667 , 262.28333333333336
254.1 , 267.7
257.8 , 271.1333333333333
263.2 , 271.73333333333335
266.8666666666667 , 272.8
268.35 , 273.05
268.8666666666667 , 274.06666666666666
268.3333333333333 , 275.3333333333333
270.35 , 274.5833333333333
271.81666666666666 , 274.05
272.5833333333333 , 273.6166666666667
270.6333333333333 , 272.43333333333334
268.96666666666664 , 270.56666666666666
267.05 , 268.15
266.1333333333333 , 266
264.8 , 263.6666666666667
263.6666666666667 , 261
261.25 , 258.75
259.4166666666667 , 255.58333333333334
257 , 253
253.91666666666666 , 251.08333333333334
251.5 , 248.5
248.41666666666666 , 246.58333333333334
245.75 , 244.25
243.58333333333334 , 241.41666666666666
241.16666666666666 , 238.83333333333334
238.66666666666666 , 236.33333333333334
236.16666666666666 , 233.83333333333334
233.5 , 231.5
230.41666666666666 , 229.58333333333334
227.83333333333334 , 227.16666666666666
225 , 225
222.41666666666666 , 222.58333333333334
219.58333333333334 , 220.41666666666666
217.33333333333334 , 217.66666666666666
215.08333333333334 , 214.91666666666666
212.66666666666666 , 212.33333333333334
209.91666666666666 , 210.08333333333334
207.83333333333334 , 207.16666666666666
205.91666666666666 , 204.08333333333334
203.33333333333334 , 201.66666666666666
200 , 200
