800
Taste 1 , Taste 0
6.9 , -1.7666666666666666
14.833333333333334 , -3.8333333333333335
24.016666666666666 , -5.75
32.15 , -7.55
38.3 , -10.3
44.833333333333336 , -12.966666666666667
51.35 , -15.55
58.38333333333333 , -17.65
64.78333333333333 , -19.316666666666666
68.31666666666666 , -20.916666666666668
71.48333333333333 , -20.55
73.35 , -17.216666666666665
75.53333333333333 , -13.6
76.75 , -9.95
75.91666666666667 , -3.183333333333333
76.11666666666666 , 3.15
75.38333333333334 , 9.416666666666666
76.83333333333333 , 12.166666666666666
81.25 , 13.883333333333333
86.71666666666667 , 12.816666666666666
90 , 15.333333333333334
91.01666666666667 , 19.25
96.63333333333334 , 18.9
101.78333333333333 , 18.616666666666667
103.01666666666667 , 21.316666666666666
104.03333333333333 , 22.433333333333334
111.1 , 20.566666666666666
116.66666666666667 , 19.4
122.65 , 19.616666666666667
127.36666666666666 , 19.766666666666666
129.41666666666666 , 20.983333333333334
132.33333333333334 , 22.8
132.4 , 27.8
130.71666666666667 , 36.21666666666667
129.33333333333334 , 41.733333333333334
129.93333333333334 , 45.4
131.51666666666668 , 48.95
133.63333333333333 , 52.3
135.48333333333332 , 56.05
137.78333333333333 , 59.81666666666667
137.68333333333334 , 64.11666666666666
137.76666666666668 , 69.23333333333333
139.76666666666668 , 73.1
141.95 , 75.98333333333333
143.98333333333332 , 77.88333333333334
146.75 , 80.18333333333334
149.23333333333332 , 81.7
151.53333333333333 , 84.93333333333334
153.55 , 87.98333333333333
155.46666666666667 , 89.93333333333334
157.8 , 92.66666666666667
158.48333333333332 , 97.58333333333333
159.96666666666667 , 101.23333333333333
160.4 , 107.13333333333334
161.11666666666667 , 111.68333333333334
161.25 , 117.08333333333333
161.36666666666667 , 123.36666666666666
161 , 128.46666666666667
160.8 , 134.13333333333333
160.46666666666667 , 139
161.56666666666666 , 143.63333333333333
162.68333333333334 , 148.91666666666666
164.16666666666666 , 153.16666666666666
166.11666666666667 , 156.81666666666666
168.28333333333333 , 160.25
169.81666666666666 , 163.91666666666666
171.76666666666668 , 166.7
173.78333333333333 , 168.88333333333333
175.38333333333333 , 171.15
177.75 , 174.31666666666666
180.38333333333333 , 176.95
182.63333333333333 , 179.96666666666667
184.86666666666667 , 181.8
187.33333333333334 , 184.53333333333333
189.13333333333333 , 186.53333333333333
191.18333333333334 , 189.35
193.18333333333334 , 193.08333333333334
195.46666666666667 , 195.13333333333333
197.13333333333333 , 198.33333333333334
200 , 200
